Id,price,yieldsec,volume,secid,name,is_traded,emitent_id,shortname,matdate,initialfacevalue,issuesize,isqualifiedinvestors,couponpercent,typename
1,0.0,0.0,0,CH0248531110,VTB CAPITAL S.A. 24 CHF,1,68213,VTB-24 CHF,2024-10-24,5000,70000,1,4.0725,Корпоративная облигация
2,0.0,0.0,0,CH0419041618,RZD CAPITAL PLC 0.898 03/10/25,1,68224,RZD-25 CHF,2025-10-03,5000,70000,1,0.898,Корпоративная облигация
3,0.0,0.0,0,CH0419041634,RZD CAPITAL PLC 03/04/28,1,68224,RZD-28 CHF,2028-04-03,5000,30000,1,1.195,Корпоративная облигация
4,97.06,13.05,3140,RU000A0JQ7Z2,"""Российские ЖД"" ОАО 19 обл.",1,1487,РЖД-19 обл,2024-07-08,1000,10000000,0,7.85,Корпоративная облигация
5,94.59,13.34,2052,RU000A0JQRD9,"""Российские ЖД"" ОАО 23 обл.",1,1487,РЖД-23 обл,2025-01-16,1000,15000000,0,7.85,Корпоративная облигация
6,139.0,4.34,3,RU000A0JRJB8,Запад.скор.диаметр АО об.01,1,2423,ЗСД 01,2031-05-13,1000,5000000,0,10.44,Корпоративная облигация
7,96.59,18.14,10,RU000A0JRU20,Северо-Зап.концес.комп. сер.03,1,2451,СЗКК 03,2031-09-26,1000,5000000,0,8.15,Корпоративная облигация
8,83.91,11.06,15,RU000A0JRZ74,ПАО ОТКРЫТИЕ ФК Банк БО-03,1,1206,ОткрФКББ03,2025-07-16,1000,18000000,0,0.01,Биржевая облигация
9,111.99,7.99,1,RU000A0JS4J1,Запад.скор.диаметр АО об.03,1,2423,ЗСД 03,2032-02-06,1000,5000000,0,9.84,Корпоративная облигация
10,97.0,12.18,1,RU000A0JS4Z7,ВЭБ.РФ об. сер. 21,1,2234,ВЭБ.РФ 21,2032-02-17,1000,15000000,0,9.28,Корпоративная облигация
11,95.0,14.64,27,RU000A0JS934,Евразийский банк развития 11,1,2258,ЕАБР11,2025-01-24,1000,5000000,0,9.5,Облигация МФО
12,95.21,12.32,228,RU000A0JSGV0,"""Российские ЖД"" ОАО 32 обл.",1,1487,РЖД-32 обл,2032-06-25,1000,10000000,0,9.8,Корпоративная облигация
13,97.41,13.54,8,RU000A0JSQ58,ФСК Россети(ПАО)-обл. сер.22,1,1491,ФСК РС-22,2027-07-21,1000,10000000,0,9.15,Корпоративная облигация
14,96.3,12.61,1,RU000A0JT403,ВЭБ.РФ об. сер. 18,1,2234,ВЭБ.РФ 18,2032-09-17,1000,10000000,0,7.67,Корпоративная облигация
15,97.88,13.59,94,RU000A0JT6B2,ВЭБ.РФ об. сер. 19,1,2234,ВЭБ.РФ 19,2032-09-23,1000,10000000,0,7.48,Корпоративная облигация
16,90.0,15.78,1000,RU000A0JTB96,Главная дорога АО об.сер. 07,1,2328,ГлДорога 7,2029-10-30,1000,1400000,0,4,Корпоративная облигация
17,97.72,13.75,25,RU000A0JTU85,"""Российские ЖД"" ОАО 28 обл.",1,1487,РЖД-28 обл,2028-03-21,1000,20000000,0,6.8,Корпоративная облигация
18,101.78,12.05,150,RU000A0JUAG0,РСГ-Финанс ООО обл. БО-01,1,2425,РСГ-ФинБ01,2025-11-11,1000,3000000,0,9.5,Биржевая облигация
19,94.65,13.01,1290,RU000A0JUAH8,"""Российские ЖД"" ОАО 30 обл.",1,1487,РЖД-30 обл,2028-11-07,1000,15000000,0,6.75,Корпоративная облигация
20,101.0,-66.55,75,RU000A0JUAT3,Вертолеты России об. БО-02,1,2636,ВертолетБ2,2023-11-16,1000,5000000,0,7.5,Биржевая облигация
21,99.84,10.63,20,RU000A0JUCR3,ПАО НК Роснефть БО-06,1,1881,РоснефтьБ6,2023-12-11,1000,20000000,0,8.4,Биржевая облигация
22,99.66,13.17,2336,RU000A0JUCS1,ПАО НК Роснефть БО-05,1,1881,РоснефтьБ5,2023-12-11,1000,20000000,0,8.4,Биржевая облигация
23,99.49,11.97,661,RU000A0JUFV8,ПАО НК Роснефть БО-07,1,1881,РоснефтьБ7,2024-02-06,1000,20000000,0,9.5,Биржевая облигация
24,65.01,24.26,41,RU000A0JUG98,Международный инвест. банк 04,1,16977,МежИнБанк4,2025-11-06,1000,5000000,0,0.01,Облигация МФО
25,100.29,11.17,19,RU000A0JUJG1,РОСБАНК ПАО обл.14-ИП,1,1236,Росбн14ИП,2024-03-27,1000,5000000,0,12,Корпоративная облигация
26,97.45,12.13,2063,RU000A0JUMH3,ГПБ (АО) БО-08,1,1205,ГПБ БО-08,2024-05-23,1000,10000000,0,6.65,Биржевая облигация
27,96.5,11.96,1,RU000A0JUQ39,ГПБ (АО) БО-09,1,1205,ГПБ БО-09,2024-06-27,1000,10000000,0,5.65,Биржевая облигация
28,99.5,14.67,395,RU000A0JUQC5, Ашинский метзавод ПАО БО-01,1,2163,АшинМЗ БО1,2024-06-17,1000,1000000,0,9,Биржевая облигация
29,95.7,13.97,17865,RU000A0JUV08,ГПБ (АО) БО-10,1,1205,ГПБ БО-10,2024-09-26,1000,10000000,0,8.15,Биржевая облигация
30,99.15,12.57,1,RU000A0JUW72,"""Россельхозбанк"" (АО) БО-14",1,1256,РСХБ БО14,2024-09-30,1000,5000000,0,11,Биржевая облигация
31,100.54,9.12,1,RU000A0JUZZ7,ТрансФин-М ПАО БО-37,1,1646,ТрансФБО37,2024-11-11,1000,380556,0,9.5,Биржевая облигация
32,102.18,4.61,9,RU000A0JV0U1,Альфа-Банк АО обл. БО-15,1,2396,АльфаБО-15,2029-11-13,1000,5000000,0,8.85,Биржевая облигация
